         40509565 function calls (40497793 primitive calls) in 14.418 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 textpath.py:3(<module>)
     2885    0.008    0.000    0.008    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.007    0.007 ssl.py:91(<module>)
        1    0.000    0.000    0.007    0.007 backend_qt5agg.py:239(__init__)
        4    0.000    0.000    0.007    0.002 spines.py:154(register_axis)
  200/160    0.000    0.000    0.007    0.000 spines.py:404(get_spine_transform)
        1    0.000    0.000    0.007    0.007 cm.py:6(<module>)
        1    0.000    0.000    0.007    0.007 backend_qt5agg.py:65(__init__)
        1    0.000    0.000    0.007    0.007 backend_qt5.py:233(__init__)
      938    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
    24/22    0.000    0.000    0.007    0.000 axis.py:414(_get_tick1line)
  208/160    0.000    0.000    0.007    0.000 spines.py:148(_ensure_position_is_set)
        8    0.000    0.000    0.007    0.001 spines.py:359(set_position)
       46    0.001    0.000    0.007    0.000 text.py:329(_get_layout)
     4303    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.007    0.007    0.007    0.007 backend_qt5.py:121(_create_qApp)
      286    0.003    0.000    0.007    0.000 core.py:2959(__array_finalize__)
    24/22    0.000    0.000    0.007    0.000 axis.py:546(_get_tick1line)
    24/22    0.000    0.000    0.007    0.000 axis.py:425(_get_tick2line)
     7452    0.007    0.000    0.007    0.000 {method 'splitlines' of 'str' objects}
    24/22    0.000    0.000    0.007    0.000 axis.py:561(_get_tick2line)
        1    0.000    0.000    0.007    0.007 _policybase.py:4(<module>)
        1    0.000    0.000    0.006    0.006 machar.py:98(__init__)
        1    0.000    0.000    0.006    0.006 Image.py:27(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:134(<module>)
        1    0.001    0.001    0.006    0.006 machar.py:116(_do_init)
        2    0.000    0.000    0.006    0.003 __init__.py:3(<module>)
        1    0.000    0.000    0.006    0.006 font_manager.py:21(<module>)
        2    0.000    0.000    0.006    0.003 _util.py:1(<module>)
     7467    0.006    0.000    0.006    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.006    0.006 dates.py:110(<module>)
        1    0.000    0.000    0.006    0.006 case.py:1(<module>)
        1    0.000    0.000    0.006    0.006 context.py:1(<module>)
     1868    0.001    0.000    0.006    0.000 {method 'any' of 'numpy.ndarray' objects}
      144    0.000    0.000    0.006    0.000 lines.py:1156(set_marker)
        1    0.000    0.000    0.006    0.006 mathtext.py:16(<module>)
